config,chunk_id,source,heading_path,start,end,tokens,body_tokens,chars,clean_start,clean_end,sections,units
A,71902ff9-2761-4dbc-a4bc-05634870de10,apple/apple_black_rot.txt,,0,980,340,269,1146,True,True,,
A,a6b49fb9-d71e-425b-805f-b0d0b1668118,apple/apple_black_rot.txt,,982,1880,318,247,1064,True,True,,
A,1d556725-4178-4b1f-ae80-47745b8de982,apple/apple_black_rot.txt,,1742,2636,343,272,1060,True,True,,
A,48c3bd91-9d0d-498e-a899-e0483fe48b51,apple/apple_black_rot.txt,,2638,3545,339,268,1073,True,True,,
A,3fcd15c8-0849-4fdf-aeed-09f08a812dab,apple/apple_black_rot.txt,,3484,4406,339,268,1088,True,True,,
A,95be2497-2c1d-4090-abdc-9d8d71b8dbd4,apple/apple_black_rot.txt,,4408,4817,181,110,575,True,True,,
A,54649cee-331c-4fa1-90f1-346b6286776b,apple/apple_black_rot.txt,,4785,5706,327,256,1087,True,True,,
A,8dd11a06-6f6c-475d-933f-743a1956ba22,apple/apple_black_rot.txt,,5708,6635,325,254,1093,True,True,,
A,f6369117-0ea7-4ad4-845d-0081617c5627,apple/apple_black_rot.txt,,6516,7509,329,258,1159,True,True,,
A,e8339a05-2dd0-4b0e-a439-6db7164a88c9,apple/apple_black_rot.txt,,7511,8505,334,263,1160,True,True,,
A,f3aa9bba-5bd2-42e6-8d86-4d209e83502a,apple/apple_black_rot.txt,,8435,9005,229,158,736,True,True,,
A,84a83877-9773-44c4-b404-e9fe2ca73a46,apple/apple_black_rot.txt,,8911,9498,243,172,753,True,True,,
A,48a60641-9bc6-42aa-a644-d768f3d69113,apple/apple_cedar_rust.txt,,0,983,404,290,1212,True,True,,
A,0ea8652b-4f8d-4416-a5d5-544403e79fa7,apple/apple_cedar_rust.txt,,862,1859,402,288,1226,True,True,,
A,2635f3b2-7893-428c-a67a-d0152d331286,apple/apple_cedar_rust.txt,,1730,2719,381,267,1218,True,True,,
A,be445c73-8814-438c-ad7d-98f54ecbf1cd,apple/apple_cedar_rust.txt,,2609,3594,386,272,1214,True,True,,
A,d895312b-8719-496e-bb2b-68a8c9c9afba,apple/apple_cedar_rust.txt,,3483,4460,390,276,1206,True,True,,
A,65db6a50-14ad-4d92-9795-9efc9f8a6332,apple/apple_cedar_rust.txt,,4462,5448,384,270,1215,True,True,,
A,9a87e7d1-60e8-45bc-87ed-53d2dd1559b8,apple/apple_cedar_rust.txt,,5309,6228,359,245,1148,True,True,,
A,4b709627-8be1-4a0b-9931-6e074d230186,apple/apple_cedar_rust.txt,,6101,6911,330,216,1039,True,True,,
A,a3dbd146-eaed-4a12-a9a3-a1b5063255a1,apple/apple_cedar_rust.txt,,6889,7758,329,215,1098,True,True,,
