config,id,evidence,source,evidence_chars,contained,chunks_overlapping,best_single_chunk
A,q001,1,apple/apple_black_rot.txt,297,True,1,1.0
A,q002,1,apple/apple_black_rot.txt,127,True,1,1.0
A,q003,1,apple/apple_black_rot.txt,162,True,1,1.0
A,q004,1,apple/apple_scab.txt,131,True,1,1.0
A,q005,1,apple/apple_scab.txt,249,True,1,1.0
A,q006,1,apple/apple_scab.txt,65,True,1,1.0
A,q007,1,apple/apple_cedar_rust.txt,138,True,1,1.0
A,q008,1,apple/apple_cedar_rust.txt,265,True,1,1.0
A,q009,1,cherry/cherry_powdery_mildew.txt,170,True,1,1.0
A,q010,1,cherry/cherry_powdery_mildew.txt,165,True,1,1.0
A,q011,1,corn/corn_common_rust.txt,215,True,1,1.0
A,q012,1,corn/corn_gray_leaf_spot.txt,125,True,2,1.0
A,q013,1,corn/corn_northern_leaf_blight.txt,72,True,1,1.0
A,q014,1,grape/grape_esca.txt,180,False,2,0.7222222222222222
A,q015,1,grape/grape_esca.txt,150,True,2,1.0
A,q016,1,peach/peach_bacterial_spot.txt,207,True,2,1.0
A,q017,1,peach/peach_bacterial_spot.txt,83,True,1,1.0
A,q018,1,pepper_bell/pepper_bell_bacterial_spot.txt,239,True,1,1.0
A,q019,1,pepper_bell/pepper_bell_bacterial_spot.txt,95,True,1,1.0
A,q020,1,pepper_bell/pepper_bell_bacterial_spot.txt,111,True,1,1.0
A,q021,1,potato/potato_earrly_blight.txt,72,True,2,1.0
A,q022,1,potato/potato_earrly_blight.txt,162,True,1,1.0
A,q023,1,squash/squash_powdery_mildew.txt,144,True,2,1.0
A,q024,1,squash/squash_powdery_mildew.txt,122,True,1,1.0
A,q025,1,strawberry/strawberry_leaf_scorch.txt,100,True,1,1.0
A,q026,1,strawberry/strawberry_leaf_scorch.txt,91,True,1,1.0
A,q027,1,tomato/toamto_mosaic_virus.txt,95,True,1,1.0
A,q028,1,tomato/toamto_mosaic_virus.txt,140,True,2,1.0
A,q029,1,tomato/toamto_mosaic_virus.txt,137,True,1,1.0
A,q030,1,tomato/tomato_bacterial_spot.txt,106,True,1,1.0
A,q031,1,tomato/tomato_bacterial_spot.txt,115,True,1,1.0
A,q032,1,tomato/tomato_early_blight.txt,150,True,1,1.0
A,q033,1,tomato/tomato_late_blight.txt,130,True,2,1.0
A,q034,1,tomato/tomato_leaf_mold.txt,172,True,1,1.0
A,q035,1,tomato/tomato_septoria_leaf_spot.txt,121,True,1,1.0
A,q036,1,tomato/tomato_spider_mites.txt,115,True,1,1.0
A,q037,1,tomato/tomato_spider_mites.txt,109,True,2,1.0
A,q038,1,tomato/tomato_target_spot.txt,120,True,1,1.0
A,q039,1,tomato/tomato_yello_leaf_curl_virus.txt,49,True,1,1.0
A,q040,1,tomato/tomato_yello_leaf_curl_virus.txt,70,True,1,1.0
A,q041,1,apple/apple_black_rot.txt,240,True,2,1.0
A,q042,1,apple/apple_scab.txt,229,True,1,1.0
A,q043,1,apple/apple_cedar_rust.txt,142,True,1,1.0
A,q044,1,cherry/cherry_powdery_mildew.txt,357,True,1,1.0
A,q045,1,corn/corn_gray_leaf_spot.txt,172,True,1,1.0
A,q046,1,corn/corn_northern_leaf_blight.txt,175,True,1,1.0
A,q047,1,grape/grape_esca.txt,114,True,1,1.0
A,q048,1,peach/peach_bacterial_spot.txt,97,True,1,1.0
A,q049,1,pepper_bell/pepper_bell_bacterial_spot.txt,57,True,1,1.0
A,q050,1,potato/potato_earrly_blight.txt,157,True,1,1.0
A,q051,1,squash/squash_powdery_mildew.txt,153,True,1,1.0
A,q052,1,strawberry/strawberry_leaf_scorch.txt,91,True,1,1.0
A,q053,1,tomato/toamto_mosaic_virus.txt,293,False,2,0.5426621160409556
A,q054,1,tomato/tomato_late_blight.txt,142,True,2,1.0
A,q055,1,tomato/tomato_leaf_mold.txt,156,True,1,1.0
A,q056,1,tomato/tomato_spider_mites.txt,112,True,2,1.0
A,q057,1,tomato/tomato_yello_leaf_curl_virus.txt,117,True,1,1.0
A,q058,1,apple/apple_black_rot.txt,127,True,1,1.0
A,q058,2,apple/apple_scab.txt,131,True,1,1.0
B,q001,1,apple/apple_black_rot.txt,297,True,1,1.0
B,q002,1,apple/apple_black_rot.txt,127,True,1,1.0
B,q003,1,apple/apple_black_rot.txt,162,True,1,1.0
B,q004,1,apple/apple_scab.txt,131,True,1,1.0
B,q005,1,apple/apple_scab.txt,249,True,1,1.0
B,q006,1,apple/apple_scab.txt,65,True,1,1.0
B,q007,1,apple/apple_cedar_rust.txt,138,True,1,1.0
B,q008,1,apple/apple_cedar_rust.txt,265,True,1,1.0
B,q009,1,cherry/cherry_powdery_mildew.txt,170,True,1,1.0
B,q010,1,cherry/cherry_powdery_mildew.txt,165,True,1,1.0
B,q011,1,corn/corn_common_rust.txt,215,True,2,1.0
B,q012,1,corn/corn_gray_leaf_spot.txt,125,True,1,1.0
B,q013,1,corn/corn_northern_leaf_blight.txt,72,True,1,1.0
B,q014,1,grape/grape_esca.txt,180,True,1,1.0
B,q015,1,grape/grape_esca.txt,150,True,1,1.0
B,q016,1,peach/peach_bacterial_spot.txt,207,True,2,1.0
B,q017,1,peach/peach_bacterial_spot.txt,83,True,2,1.0
B,q018,1,pepper_bell/pepper_bell_bacterial_spot.txt,239,True,1,1.0
B,q019,1,pepper_bell/pepper_bell_bacterial_spot.txt,95,True,1,1.0
B,q020,1,pepper_bell/pepper_bell_bacterial_spot.txt,111,True,2,1.0
B,q021,1,potato/potato_early_blight.txt,72,True,1,1.0
B,q022,1,potato/potato_early_blight.txt,162,True,1,1.0
B,q023,1,squash/squash_powdery_mildew.txt,144,True,2,1.0
B,q024,1,squash/squash_powdery_mildew.txt,122,True,1,1.0
B,q025,1,strawberry/strawberry_leaf_scorch.txt,100,True,1,1.0
B,q026,1,strawberry/strawberry_leaf_scorch.txt,91,True,1,1.0
B,q027,1,tomato/tomato_mosaic_virus.txt,95,True,1,1.0
B,q028,1,tomato/tomato_mosaic_virus.txt,140,True,1,1.0
B,q029,1,tomato/tomato_mosaic_virus.txt,137,True,2,1.0
B,q030,1,tomato/tomato_bacterial_spot.txt,106,True,1,1.0
B,q031,1,tomato/tomato_bacterial_spot.txt,115,True,1,1.0
B,q032,1,tomato/tomato_early_blight.txt,150,True,2,1.0
B,q033,1,tomato/tomato_late_blight.txt,130,True,2,1.0
B,q034,1,tomato/tomato_leaf_mold.txt,172,True,1,1.0
B,q035,1,tomato/tomato_septoria_leaf_spot.txt,121,True,2,1.0
B,q036,1,tomato/tomato_spider_mites.txt,115,True,1,1.0
B,q037,1,tomato/tomato_spider_mites.txt,109,True,2,1.0
B,q038,1,tomato/tomato_target_spot.txt,120,True,1,1.0
B,q039,1,tomato/tomato_yellow_leaf_curl_virus.txt,49,True,1,1.0
B,q040,1,tomato/tomato_yellow_leaf_curl_virus.txt,70,True,1,1.0
B,q041,1,apple/apple_black_rot.txt,240,False,2,0.5541666666666667
B,q042,1,apple/apple_scab.txt,229,True,1,1.0
B,q043,1,apple/apple_cedar_rust.txt,142,True,1,1.0
B,q044,1,cherry/cherry_powdery_mildew.txt,357,True,1,1.0
B,q045,1,corn/corn_gray_leaf_spot.txt,172,True,1,1.0
B,q046,1,corn/corn_northern_leaf_blight.txt,175,True,2,1.0
B,q047,1,grape/grape_esca.txt,114,True,1,1.0
B,q048,1,peach/peach_bacterial_spot.txt,97,True,1,1.0
B,q049,1,pepper_bell/pepper_bell_bacterial_spot.txt,57,True,2,1.0
B,q050,1,potato/potato_early_blight.txt,157,False,2,0.7579617834394905
B,q051,1,squash/squash_powdery_mildew.txt,153,True,1,1.0
B,q052,1,strawberry/strawberry_leaf_scorch.txt,91,True,1,1.0
B,q053,1,tomato/tomato_mosaic_virus.txt,293,False,2,0.5426621160409556
B,q054,1,tomato/tomato_late_blight.txt,142,True,2,1.0
B,q055,1,tomato/tomato_leaf_mold.txt,156,True,1,1.0
B,q056,1,tomato/tomato_spider_mites.txt,112,True,1,1.0
B,q057,1,tomato/tomato_yellow_leaf_curl_virus.txt,117,True,1,1.0
B,q058,1,apple/apple_black_rot.txt,127,True,1,1.0
B,q058,2,apple/apple_scab.txt,131,True,1,1.0
C,q001,1,apple/apple_black_rot.txt,297,True,1,1.0
C,q002,1,apple/apple_black_rot.txt,127,True,1,1.0
C,q003,1,apple/apple_black_rot.txt,162,True,1,1.0
C,q004,1,apple/apple_scab.txt,131,True,1,1.0
C,q005,1,apple/apple_scab.txt,249,True,1,1.0
C,q006,1,apple/apple_scab.txt,65,True,1,1.0
C,q007,1,apple/apple_cedar_rust.txt,138,True,1,1.0
C,q008,1,apple/apple_cedar_rust.txt,265,True,1,1.0
C,q009,1,cherry/cherry_powdery_mildew.txt,170,True,1,1.0
C,q010,1,cherry/cherry_powdery_mildew.txt,165,True,1,1.0
C,q011,1,corn/corn_common_rust.txt,215,True,1,1.0
C,q012,1,corn/corn_gray_leaf_spot.txt,125,True,1,1.0
C,q013,1,corn/corn_northern_leaf_blight.txt,72,True,1,1.0
C,q014,1,grape/grape_esca.txt,180,True,1,1.0
C,q015,1,grape/grape_esca.txt,150,True,1,1.0
C,q016,1,peach/peach_bacterial_spot.txt,207,True,1,1.0
C,q017,1,peach/peach_bacterial_spot.txt,83,True,1,1.0
C,q018,1,pepper_bell/pepper_bell_bacterial_spot.txt,239,True,1,1.0
C,q019,1,pepper_bell/pepper_bell_bacterial_spot.txt,95,True,1,1.0
C,q020,1,pepper_bell/pepper_bell_bacterial_spot.txt,111,True,1,1.0
C,q021,1,potato/potato_early_blight.txt,72,True,1,1.0
C,q022,1,potato/potato_early_blight.txt,162,True,1,1.0
C,q023,1,squash/squash_powdery_mildew.txt,144,True,1,1.0
C,q024,1,squash/squash_powdery_mildew.txt,122,True,1,1.0
C,q025,1,strawberry/strawberry_leaf_scorch.txt,100,True,1,1.0
C,q026,1,strawberry/strawberry_leaf_scorch.txt,91,True,1,1.0
C,q027,1,tomato/tomato_mosaic_virus.txt,95,True,1,1.0
C,q028,1,tomato/tomato_mosaic_virus.txt,140,True,1,1.0
C,q029,1,tomato/tomato_mosaic_virus.txt,137,True,1,1.0
C,q030,1,tomato/tomato_bacterial_spot.txt,106,True,1,1.0
C,q031,1,tomato/tomato_bacterial_spot.txt,115,True,1,1.0
C,q032,1,tomato/tomato_early_blight.txt,150,True,1,1.0
C,q033,1,tomato/tomato_late_blight.txt,130,True,1,1.0
C,q034,1,tomato/tomato_leaf_mold.txt,172,True,1,1.0
C,q035,1,tomato/tomato_septoria_leaf_spot.txt,121,True,1,1.0
C,q036,1,tomato/tomato_spider_mites.txt,115,True,1,1.0
C,q037,1,tomato/tomato_spider_mites.txt,109,True,1,1.0
C,q038,1,tomato/tomato_target_spot.txt,120,True,1,1.0
C,q039,1,tomato/tomato_yellow_leaf_curl_virus.txt,49,True,1,1.0
C,q040,1,tomato/tomato_yellow_leaf_curl_virus.txt,70,True,1,1.0
C,q041,1,apple/apple_black_rot.txt,240,True,1,1.0
C,q042,1,apple/apple_scab.txt,229,True,1,1.0
C,q043,1,apple/apple_cedar_rust.txt,142,True,1,1.0
C,q044,1,cherry/cherry_powdery_mildew.txt,357,True,1,1.0
C,q045,1,corn/corn_gray_leaf_spot.txt,172,True,1,1.0
C,q046,1,corn/corn_northern_leaf_blight.txt,175,True,1,1.0
C,q047,1,grape/grape_esca.txt,114,True,1,1.0
C,q048,1,peach/peach_bacterial_spot.txt,97,True,1,1.0
C,q049,1,pepper_bell/pepper_bell_bacterial_spot.txt,57,True,1,1.0
C,q050,1,potato/potato_early_blight.txt,157,True,1,1.0
C,q051,1,squash/squash_powdery_mildew.txt,153,True,1,1.0
C,q052,1,strawberry/strawberry_leaf_scorch.txt,91,True,1,1.0
C,q053,1,tomato/tomato_mosaic_virus.txt,293,True,1,1.0
C,q054,1,tomato/tomato_late_blight.txt,142,True,1,1.0
C,q055,1,tomato/tomato_leaf_mold.txt,156,True,1,1.0
C,q056,1,tomato/tomato_spider_mites.txt,112,True,1,1.0
C,q057,1,tomato/tomato_yellow_leaf_curl_virus.txt,117,True,1,1.0
C,q058,1,apple/apple_black_rot.txt,127,True,1,1.0
C,q058,2,apple/apple_scab.txt,131,True,1,1.0
