metric,contrast,meaning,left_mean,right_mean,diff,diff_ci_low,diff_ci_high,better,worse,same,test_name,p_value,only_left,only_right,p_holm
hit_at_1,A→B,Viết lại dữ liệu (cùng recursive),0.5862068965517241,0.5689655172413793,-0.017241379310344827,-0.13793103448275862,0.10344827586206896,6,7,45,McNemar chính xác,1.0,7,6,1.0
hit_at_1,B→C,Đổi cách chunk (cùng dữ liệu mới),0.5689655172413793,0.6724137931034483,0.10344827586206896,-0.034482758620689655,0.22413793103448276,11,5,42,McNemar chính xác,0.210113525390625,5,11,0.630340576171875
hit_at_1,A→C,Tổng hợp cả hai,0.5862068965517241,0.6724137931034483,0.08620689655172414,-0.034482758620689655,0.20689655172413793,9,4,45,McNemar chính xác,0.266845703125,4,9,0.630340576171875
doc_hit_at_1,A→B,Viết lại dữ liệu (cùng recursive),0.9827586206896551,1.0,0.017241379310344827,0.0,0.05172413793103448,1,0,57,McNemar chính xác,1.0,0,1,1.0
doc_hit_at_1,B→C,Đổi cách chunk (cùng dữ liệu mới),1.0,0.9655172413793104,-0.034482758620689655,-0.08620689655172414,0.0,0,2,56,McNemar chính xác,0.5,2,0,1.0
doc_hit_at_1,A→C,Tổng hợp cả hai,0.9827586206896551,0.9655172413793104,-0.017241379310344827,-0.06896551724137931,0.034482758620689655,1,2,55,McNemar chính xác,1.0,2,1,1.0
recall_at_4,A→B,Viết lại dữ liệu (cùng recursive),0.8448275862068966,0.9310344827586207,0.08620689655172414,0.0,0.1724137931034483,6,1,51,Wilcoxon signed-rank,0.05878172135535886,,,0.1763451640660766
recall_at_4,B→C,Đổi cách chunk (cùng dữ liệu mới),0.9310344827586207,0.8706896551724138,-0.0603448275862069,-0.16379310344827586,0.04310344827586207,3,7,48,Wilcoxon signed-rank,0.2919147959664441,,,0.5838295919328882
recall_at_4,A→C,Tổng hợp cả hai,0.8448275862068966,0.8706896551724138,0.02586206896551724,-0.07780172413793084,0.13793103448275862,6,5,47,Wilcoxon signed-rank,0.5598155925079977,,,0.5838295919328882
rr_at_10,A→B,Viết lại dữ liệu (cùng recursive),0.7168308702791463,0.7201354679802955,0.003304597701149424,-0.08105706075533663,0.08489378078817733,15,11,32,Wilcoxon signed-rank,0.72984494612638,,,0.9485625473369226
rr_at_10,B→C,Đổi cách chunk (cùng dữ liệu mới),0.7201354679802955,0.7632183908045976,0.043082922824302136,-0.05835385878489328,0.14552955665024622,12,13,33,Wilcoxon signed-rank,0.4742812736684613,,,0.9485625473369226
rr_at_10,A→C,Tổng hợp cả hai,0.7168308702791463,0.7632183908045976,0.046387520525451545,-0.03953201970443349,0.13419540229885057,17,9,32,Wilcoxon signed-rank,0.24180799026040223,,,0.7254239707812067
ndcg_at_10,A→B,Viết lại dữ liệu (cùng recursive),0.8023406352904343,0.8356741748236083,0.03333353953317391,-0.01846020097911676,0.08545843788680481,18,12,28,Wilcoxon signed-rank,0.17778120045602963,,,0.5333436013680889
ndcg_at_10,B→C,Đổi cách chunk (cùng dữ liệu mới),0.8356741748236083,0.8057798155817839,-0.02989435924182444,-0.09894374853369357,0.03659368544247331,13,14,31,Wilcoxon signed-rank,0.5242698863157131,,,1.0
ndcg_at_10,A→C,Tổng hợp cả hai,0.8023406352904343,0.8057798155817839,0.0034391802913494697,-0.06355432915716965,0.06704030135353603,18,11,29,Wilcoxon signed-rank,0.6263448944094845,,,1.0
coverage_at_4,A→B,Viết lại dữ liệu (cùng recursive),0.8634941744144992,0.9528001265339808,0.08930595211948165,0.02343949044585987,0.17103448275862068,6,1,51,Wilcoxon signed-rank,0.02258688816417967,,,0.06776066449253901
coverage_at_4,B→C,Đổi cách chunk (cùng dữ liệu mới),0.9528001265339808,0.8706896551724138,-0.0821104713615671,-0.1762025038436196,0.0051396933649868175,3,7,48,Wilcoxon signed-rank,0.06396891699082884,,,0.12793783398165767
coverage_at_4,A→C,Tổng hợp cả hai,0.8634941744144992,0.8706896551724138,0.00719548075791456,-0.0969424502765682,0.11206896551724138,6,6,46,Wilcoxon signed-rank,0.869197911071798,,,0.869197911071798
precision_at_4,A→B,Viết lại dữ liệu (cùng recursive),0.2672413793103448,0.28879310344827586,0.021551724137931036,-0.017241379310344827,0.0603448275862069,11,7,40,Wilcoxon signed-rank,0.27523352407483437,,,0.27523352407483437
precision_at_4,B→C,Đổi cách chunk (cùng dữ liệu mới),0.28879310344827586,0.21982758620689655,-0.06896551724137931,-0.09913793103448276,-0.03879310344827586,1,17,40,Wilcoxon signed-rank,0.00016244084518680075,,,0.0004873225355604022
precision_at_4,A→C,Tổng hợp cả hai,0.2672413793103448,0.21982758620689655,-0.04741379310344827,-0.08620689655172414,-0.01293103448275862,5,16,37,Wilcoxon signed-rank,0.016377308341494895,,,0.03275461668298979
evidence_density_at_4,A→B,Viết lại dữ liệu (cùng recursive),0.049147118213763746,0.053813390343350156,0.004666272129586419,0.0010407682905310082,0.009209200763268316,29,27,2,Wilcoxon signed-rank,0.365234253927773,,,0.365234253927773
evidence_density_at_4,B→C,Đổi cách chunk (cùng dữ liệu mới),0.053813390343350156,0.09261727712547957,0.03880388678212942,0.026858458111831504,0.051906818989562176,49,8,1,Wilcoxon signed-rank,1.5391796242620912e-07,,,3.0783592485241824e-07
evidence_density_at_4,A→C,Tổng hợp cả hai,0.049147118213763746,0.09261727712547957,0.04347015891171582,0.030716710917443227,0.05706853415112497,50,6,2,Wilcoxon signed-rank,3.6701185887215424e-08,,,1.1010355766164627e-07
recall_budget_1024,A→B,Viết lại dữ liệu (cùng recursive),0.7672413793103449,0.8189655172413793,0.05172413793103448,-0.05172413793103448,0.15517241379310345,6,3,49,Wilcoxon signed-rank,0.31731050786291415,,,0.4118064214641368
recall_budget_1024,B→C,Đổi cách chunk (cùng dữ liệu mới),0.8189655172413793,0.8879310344827587,0.06896551724137931,-0.034482758620689655,0.1724137931034483,7,3,48,Wilcoxon signed-rank,0.2059032107320684,,,0.4118064214641368
recall_budget_1024,A→C,Tổng hợp cả hai,0.7672413793103449,0.8879310344827587,0.1206896551724138,0.0,0.2413793103448276,10,3,45,Wilcoxon signed-rank,0.05220363534131467,,,0.156610906023944
recall_budget_1536,A→B,Viết lại dữ liệu (cùng recursive),0.8275862068965517,0.9310344827586207,0.10344827586206896,0.017241379310344827,0.1896551724137931,7,1,50,Wilcoxon signed-rank,0.033894853524689246,,,0.06884912823328798
recall_budget_1536,B→C,Đổi cách chunk (cùng dữ liệu mới),0.9310344827586207,0.9396551724137931,0.008620689655172414,-0.06896551724137931,0.08620689655172414,3,3,52,Wilcoxon signed-rank,0.7388826803635273,,,0.7388826803635273
recall_budget_1536,A→C,Tổng hợp cả hai,0.8275862068965517,0.9396551724137931,0.11206896551724138,0.017241379310344827,0.21551724137931033,8,2,48,Wilcoxon signed-rank,0.022949709411095993,,,0.06884912823328798
context_tokens_at_4,A→B,Viết lại dữ liệu (cùng recursive),1414.448275862069,1374.396551724138,-40.05172413793103,-61.86206896551724,-18.395258620689674,17,41,0,Wilcoxon signed-rank,0.0007677951341893697,,,0.0007677951341893697
context_tokens_at_4,B→C,Đổi cách chunk (cùng dữ liệu mới),1374.396551724138,805.4137931034483,-568.9827586206897,-629.7422413793104,-510.1375,0,58,0,Wilcoxon signed-rank,3.504284870854178e-11,,,1.0512854612562535e-10
context_tokens_at_4,A→C,Tổng hợp cả hai,1414.448275862069,805.4137931034483,-609.0344827586207,-661.6737068965517,-555.2581896551724,0,58,0,Wilcoxon signed-rank,3.504284870854178e-11,,,1.0512854612562535e-10
